bank_name,loan_type,interest_rate,tenure_years,min_amount,max_amount,processing_fee,employment_type,location,description
IDFC First,Personal Loan,10.68,1,50000,1000000,₹6797,Salaried,Kukatpally,"IDFC First offers a personal loan at 10.68% for up to ₹1000000 in Kukatpally, Hyderabad."
Kotak,Home Loan,7.08,3,100000,500000,₹1654,Government,Kondapur,"Kotak offers a home loan at 7.08% for up to ₹500000 in Kondapur, Hyderabad."
PNB,Home Loan,12.64,5,200000,2000000,₹8144,Salaried,Hitech City,"PNB offers a home loan at 12.64% for up to ₹2000000 in Hitech City, Hyderabad."
Yes Bank,Vehicle Loan,13.0,3,50000,500000,₹6347,Pensioner,Hitech City,"Yes Bank offers a vehicle loan at 13.0% for up to ₹500000 in Hitech City, Hyderabad."
Kotak,Home Loan,10.64,1,200000,500000,₹1542,Pensioner,Jubilee Hills,"Kotak offers a home loan at 10.64% for up to ₹500000 in Jubilee Hills, Hyderabad."
Yes Bank,Home Loan,7.61,2,50000,2000000,₹7657,Government,Dilsukhnagar,"Yes Bank offers a home loan at 7.61% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
IDFC First,Home Loan,14.49,10,100000,1000000,₹5390,Pensioner,Miyapur,"IDFC First offers a home loan at 14.49% for up to ₹1000000 in Miyapur, Hyderabad."
ICICI,Personal Loan,14.48,15,200000,500000,₹5423,Salaried,Hitech City,"ICICI offers a personal loan at 14.48% for up to ₹500000 in Hitech City, Hyderabad."
HDFC,Personal Loan,13.97,1,50000,1000000,₹2850,Salaried,Attapur,"HDFC offers a personal loan at 13.97% for up to ₹1000000 in Attapur, Hyderabad."
Canara,Vehicle Loan,10.84,3,50000,500000,₹7527,Salaried,Gachibowli,"Canara offers a vehicle loan at 10.84% for up to ₹500000 in Gachibowli, Hyderabad."
Yes Bank,Personal Loan,13.79,20,200000,1000000,₹9757,Pensioner,Madhapur,"Yes Bank offers a personal loan at 13.79% for up to ₹1000000 in Madhapur, Hyderabad."
Axis,Personal Loan,8.37,20,100000,1000000,₹1415,Pensioner,Dilsukhnagar,"Axis offers a personal loan at 8.37% for up to ₹1000000 in Dilsukhnagar, Hyderabad."
Yes Bank,Personal Loan,7.75,1,50000,1000000,₹9063,Government,Madhapur,"Yes Bank offers a personal loan at 7.75% for up to ₹1000000 in Madhapur, Hyderabad."
SBI,Vehicle Loan,14.44,1,50000,2000000,₹4756,Government,Madhapur,"SBI offers a vehicle loan at 14.44% for up to ₹2000000 in Madhapur, Hyderabad."
Kotak,Vehicle Loan,9.65,1,50000,500000,₹6587,Self-Employed,Jubilee Hills,"Kotak offers a vehicle loan at 9.65% for up to ₹500000 in Jubilee Hills, Hyderabad."
PNB,Home Loan,11.86,3,100000,1000000,₹9913,Self-Employed,Begumpet,"PNB offers a home loan at 11.86% for up to ₹1000000 in Begumpet, Hyderabad."
Canara,Home Loan,13.0,1,200000,2000000,₹5756,Government,Miyapur,"Canara offers a home loan at 13.0% for up to ₹2000000 in Miyapur, Hyderabad."
Canara,Vehicle Loan,13.99,3,100000,1000000,₹9246,Government,Mehdipatnam,"Canara offers a vehicle loan at 13.99% for up to ₹1000000 in Mehdipatnam, Hyderabad."
BOB,Home Loan,7.25,10,50000,500000,₹8635,Pensioner,Miyapur,"BOB offers a home loan at 7.25% for up to ₹500000 in Miyapur, Hyderabad."
PNB,Home Loan,9.34,3,200000,1000000,₹6909,Government,Dilsukhnagar,"PNB offers a home loan at 9.34% for up to ₹1000000 in Dilsukhnagar, Hyderabad."
HDFC,Personal Loan,12.36,15,100000,1000000,₹7827,Salaried,Mehdipatnam,"HDFC offers a personal loan at 12.36% for up to ₹1000000 in Mehdipatnam, Hyderabad."
Yes Bank,Home Loan,11.61,10,200000,500000,₹8220,Salaried,Begumpet,"Yes Bank offers a home loan at 11.61% for up to ₹500000 in Begumpet, Hyderabad."
ICICI,Education Loan,9.98,10,100000,500000,₹3272,Pensioner,Kukatpally,"ICICI offers a education loan at 9.98% for up to ₹500000 in Kukatpally, Hyderabad."
Kotak,Personal Loan,14.7,3,100000,2000000,₹9918,Salaried,Dilsukhnagar,"Kotak offers a personal loan at 14.7% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
IDFC First,Personal Loan,9.63,20,50000,1000000,₹7766,Self-Employed,Miyapur,"IDFC First offers a personal loan at 9.63% for up to ₹1000000 in Miyapur, Hyderabad."
BOB,Vehicle Loan,7.81,1,200000,1000000,₹7751,Salaried,Miyapur,"BOB offers a vehicle loan at 7.81% for up to ₹1000000 in Miyapur, Hyderabad."
Canara,Home Loan,14.75,10,50000,2000000,₹5050,Government,Miyapur,"Canara offers a home loan at 14.75% for up to ₹2000000 in Miyapur, Hyderabad."
Axis,Personal Loan,11.05,3,200000,500000,₹7025,Self-Employed,Miyapur,"Axis offers a personal loan at 11.05% for up to ₹500000 in Miyapur, Hyderabad."
PNB,Personal Loan,7.57,3,100000,2000000,₹7162,Salaried,Kukatpally,"PNB offers a personal loan at 7.57% for up to ₹2000000 in Kukatpally, Hyderabad."
IDFC First,Vehicle Loan,14.81,3,50000,500000,₹3763,Pensioner,Gachibowli,"IDFC First offers a vehicle loan at 14.81% for up to ₹500000 in Gachibowli, Hyderabad."
IDFC First,Education Loan,12.94,1,100000,2000000,₹6747,Pensioner,Mehdipatnam,"IDFC First offers a education loan at 12.94% for up to ₹2000000 in Mehdipatnam, Hyderabad."
BOB,Personal Loan,14.99,15,100000,500000,₹3972,Salaried,Mehdipatnam,"BOB offers a personal loan at 14.99% for up to ₹500000 in Mehdipatnam, Hyderabad."
PNB,Education Loan,9.04,3,50000,500000,₹1105,Salaried,Hitech City,"PNB offers a education loan at 9.04% for up to ₹500000 in Hitech City, Hyderabad."
BOB,Home Loan,11.42,5,100000,500000,₹5004,Pensioner,Attapur,"BOB offers a home loan at 11.42% for up to ₹500000 in Attapur, Hyderabad."
Axis,Personal Loan,12.99,15,200000,500000,₹3299,Pensioner,Jubilee Hills,"Axis offers a personal loan at 12.99% for up to ₹500000 in Jubilee Hills, Hyderabad."
BOB,Education Loan,14.04,1,50000,500000,₹6104,Government,Dilsukhnagar,"BOB offers a education loan at 14.04% for up to ₹500000 in Dilsukhnagar, Hyderabad."
PNB,Education Loan,11.1,2,50000,500000,₹6219,Salaried,Dilsukhnagar,"PNB offers a education loan at 11.1% for up to ₹500000 in Dilsukhnagar, Hyderabad."
Yes Bank,Vehicle Loan,7.28,10,200000,500000,₹9930,Government,LB Nagar,"Yes Bank offers a vehicle loan at 7.28% for up to ₹500000 in LB Nagar, Hyderabad."
Canara,Personal Loan,10.76,5,100000,2000000,₹9619,Self-Employed,LB Nagar,"Canara offers a personal loan at 10.76% for up to ₹2000000 in LB Nagar, Hyderabad."
ICICI,Vehicle Loan,9.51,15,200000,500000,₹1120,Government,Gachibowli,"ICICI offers a vehicle loan at 9.51% for up to ₹500000 in Gachibowli, Hyderabad."
IDFC First,Home Loan,10.82,1,50000,2000000,₹1644,Salaried,Jubilee Hills,"IDFC First offers a home loan at 10.82% for up to ₹2000000 in Jubilee Hills, Hyderabad."
IDFC First,Vehicle Loan,8.61,3,100000,1000000,₹5094,Pensioner,LB Nagar,"IDFC First offers a vehicle loan at 8.61% for up to ₹1000000 in LB Nagar, Hyderabad."
HDFC,Home Loan,11.94,10,200000,1000000,₹2680,Salaried,Tolichowki,"HDFC offers a home loan at 11.94% for up to ₹1000000 in Tolichowki, Hyderabad."
BOB,Home Loan,7.78,20,100000,2000000,₹2231,Pensioner,Hitech City,"BOB offers a home loan at 7.78% for up to ₹2000000 in Hitech City, Hyderabad."
Canara,Personal Loan,11.22,1,50000,500000,₹2941,Salaried,Ameerpet,"Canara offers a personal loan at 11.22% for up to ₹500000 in Ameerpet, Hyderabad."
SBI,Vehicle Loan,12.47,10,50000,2000000,₹2328,Government,Secunderabad,"SBI offers a vehicle loan at 12.47% for up to ₹2000000 in Secunderabad, Hyderabad."
HDFC,Personal Loan,11.5,15,50000,2000000,₹6434,Self-Employed,Kukatpally,"HDFC offers a personal loan at 11.5% for up to ₹2000000 in Kukatpally, Hyderabad."
Axis,Personal Loan,14.74,5,100000,500000,₹9323,Self-Employed,Secunderabad,"Axis offers a personal loan at 14.74% for up to ₹500000 in Secunderabad, Hyderabad."
IDFC First,Education Loan,11.42,10,50000,2000000,₹5052,Self-Employed,Ameerpet,"IDFC First offers a education loan at 11.42% for up to ₹2000000 in Ameerpet, Hyderabad."
SBI,Education Loan,13.85,20,200000,2000000,₹4035,Government,Begumpet,"SBI offers a education loan at 13.85% for up to ₹2000000 in Begumpet, Hyderabad."
Kotak,Personal Loan,8.35,15,50000,500000,₹2193,Pensioner,Secunderabad,"Kotak offers a personal loan at 8.35% for up to ₹500000 in Secunderabad, Hyderabad."
ICICI,Education Loan,14.06,20,100000,500000,₹6615,Salaried,Gachibowli,"ICICI offers a education loan at 14.06% for up to ₹500000 in Gachibowli, Hyderabad."
SBI,Vehicle Loan,8.7,5,50000,1000000,₹4686,Salaried,Jubilee Hills,"SBI offers a vehicle loan at 8.7% for up to ₹1000000 in Jubilee Hills, Hyderabad."
Yes Bank,Personal Loan,10.68,2,200000,1000000,₹2932,Pensioner,Attapur,"Yes Bank offers a personal loan at 10.68% for up to ₹1000000 in Attapur, Hyderabad."
Yes Bank,Vehicle Loan,12.36,15,200000,1000000,₹2966,Salaried,Miyapur,"Yes Bank offers a vehicle loan at 12.36% for up to ₹1000000 in Miyapur, Hyderabad."
IDFC First,Education Loan,8.15,15,100000,500000,₹6755,Pensioner,LB Nagar,"IDFC First offers a education loan at 8.15% for up to ₹500000 in LB Nagar, Hyderabad."
Kotak,Education Loan,8.66,1,200000,2000000,₹7897,Self-Employed,Ameerpet,"Kotak offers a education loan at 8.66% for up to ₹2000000 in Ameerpet, Hyderabad."
Kotak,Home Loan,9.95,20,100000,2000000,₹9438,Government,Secunderabad,"Kotak offers a home loan at 9.95% for up to ₹2000000 in Secunderabad, Hyderabad."
SBI,Vehicle Loan,12.33,1,200000,2000000,₹9323,Government,Miyapur,"SBI offers a vehicle loan at 12.33% for up to ₹2000000 in Miyapur, Hyderabad."
Kotak,Vehicle Loan,7.61,1,100000,500000,₹3876,Self-Employed,LB Nagar,"Kotak offers a vehicle loan at 7.61% for up to ₹500000 in LB Nagar, Hyderabad."
IDFC First,Education Loan,9.98,10,200000,1000000,₹8369,Pensioner,Ameerpet,"IDFC First offers a education loan at 9.98% for up to ₹1000000 in Ameerpet, Hyderabad."
Kotak,Personal Loan,11.25,15,200000,500000,₹1841,Pensioner,Gachibowli,"Kotak offers a personal loan at 11.25% for up to ₹500000 in Gachibowli, Hyderabad."
IDFC First,Education Loan,13.92,2,200000,1000000,₹3904,Self-Employed,Miyapur,"IDFC First offers a education loan at 13.92% for up to ₹1000000 in Miyapur, Hyderabad."
ICICI,Personal Loan,10.95,2,100000,2000000,₹8755,Salaried,Kukatpally,"ICICI offers a personal loan at 10.95% for up to ₹2000000 in Kukatpally, Hyderabad."
Canara,Home Loan,9.07,2,50000,2000000,₹2760,Government,Mehdipatnam,"Canara offers a home loan at 9.07% for up to ₹2000000 in Mehdipatnam, Hyderabad."
PNB,Home Loan,8.73,10,50000,1000000,₹6376,Salaried,Jubilee Hills,"PNB offers a home loan at 8.73% for up to ₹1000000 in Jubilee Hills, Hyderabad."
IDFC First,Vehicle Loan,9.47,20,50000,2000000,₹7524,Self-Employed,Kukatpally,"IDFC First offers a vehicle loan at 9.47% for up to ₹2000000 in Kukatpally, Hyderabad."
Axis,Vehicle Loan,10.93,20,100000,500000,₹4076,Government,Dilsukhnagar,"Axis offers a vehicle loan at 10.93% for up to ₹500000 in Dilsukhnagar, Hyderabad."
Axis,Vehicle Loan,11.95,10,200000,500000,₹8287,Salaried,Gachibowli,"Axis offers a vehicle loan at 11.95% for up to ₹500000 in Gachibowli, Hyderabad."
HDFC,Home Loan,13.55,1,200000,2000000,₹2446,Government,Banjara Hills,"HDFC offers a home loan at 13.55% for up to ₹2000000 in Banjara Hills, Hyderabad."
Axis,Vehicle Loan,8.54,5,100000,1000000,₹2182,Salaried,Madhapur,"Axis offers a vehicle loan at 8.54% for up to ₹1000000 in Madhapur, Hyderabad."
PNB,Vehicle Loan,9.38,15,100000,2000000,₹7722,Salaried,Hitech City,"PNB offers a vehicle loan at 9.38% for up to ₹2000000 in Hitech City, Hyderabad."
IDFC First,Personal Loan,12.23,20,50000,500000,₹4251,Self-Employed,Jubilee Hills,"IDFC First offers a personal loan at 12.23% for up to ₹500000 in Jubilee Hills, Hyderabad."
Axis,Personal Loan,11.45,5,100000,2000000,₹2347,Salaried,Banjara Hills,"Axis offers a personal loan at 11.45% for up to ₹2000000 in Banjara Hills, Hyderabad."
ICICI,Education Loan,7.84,10,50000,1000000,₹7432,Government,Madhapur,"ICICI offers a education loan at 7.84% for up to ₹1000000 in Madhapur, Hyderabad."
Yes Bank,Vehicle Loan,9.1,20,200000,2000000,₹7726,Salaried,Jubilee Hills,"Yes Bank offers a vehicle loan at 9.1% for up to ₹2000000 in Jubilee Hills, Hyderabad."
Yes Bank,Personal Loan,8.98,1,50000,1000000,₹9605,Self-Employed,Begumpet,"Yes Bank offers a personal loan at 8.98% for up to ₹1000000 in Begumpet, Hyderabad."
Axis,Vehicle Loan,8.26,20,200000,500000,₹8390,Self-Employed,Dilsukhnagar,"Axis offers a vehicle loan at 8.26% for up to ₹500000 in Dilsukhnagar, Hyderabad."
SBI,Education Loan,9.45,5,50000,500000,₹1287,Salaried,Mehdipatnam,"SBI offers a education loan at 9.45% for up to ₹500000 in Mehdipatnam, Hyderabad."
IDFC First,Vehicle Loan,11.11,5,100000,1000000,₹4076,Self-Employed,Jubilee Hills,"IDFC First offers a vehicle loan at 11.11% for up to ₹1000000 in Jubilee Hills, Hyderabad."
ICICI,Home Loan,10.4,20,50000,500000,₹7088,Government,Hitech City,"ICICI offers a home loan at 10.4% for up to ₹500000 in Hitech City, Hyderabad."
Canara,Education Loan,14.47,5,200000,2000000,₹4534,Self-Employed,Secunderabad,"Canara offers a education loan at 14.47% for up to ₹2000000 in Secunderabad, Hyderabad."
ICICI,Personal Loan,9.5,5,100000,500000,₹1524,Pensioner,LB Nagar,"ICICI offers a personal loan at 9.5% for up to ₹500000 in LB Nagar, Hyderabad."
Axis,Education Loan,7.17,10,50000,1000000,₹4218,Salaried,Kukatpally,"Axis offers a education loan at 7.17% for up to ₹1000000 in Kukatpally, Hyderabad."
Kotak,Home Loan,7.43,5,100000,2000000,₹4579,Salaried,Tolichowki,"Kotak offers a home loan at 7.43% for up to ₹2000000 in Tolichowki, Hyderabad."
Yes Bank,Home Loan,14.81,15,200000,500000,₹4624,Government,Banjara Hills,"Yes Bank offers a home loan at 14.81% for up to ₹500000 in Banjara Hills, Hyderabad."
HDFC,Education Loan,10.44,2,100000,2000000,₹1415,Government,Secunderabad,"HDFC offers a education loan at 10.44% for up to ₹2000000 in Secunderabad, Hyderabad."
Yes Bank,Personal Loan,12.57,5,50000,500000,₹4451,Pensioner,Attapur,"Yes Bank offers a personal loan at 12.57% for up to ₹500000 in Attapur, Hyderabad."
Kotak,Education Loan,8.08,20,200000,2000000,₹2371,Pensioner,Dilsukhnagar,"Kotak offers a education loan at 8.08% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
Axis,Personal Loan,14.24,15,200000,2000000,₹1445,Salaried,Kondapur,"Axis offers a personal loan at 14.24% for up to ₹2000000 in Kondapur, Hyderabad."
BOB,Vehicle Loan,12.44,10,100000,2000000,₹3703,Self-Employed,LB Nagar,"BOB offers a vehicle loan at 12.44% for up to ₹2000000 in LB Nagar, Hyderabad."
Axis,Vehicle Loan,14.06,3,50000,2000000,₹9010,Pensioner,Miyapur,"Axis offers a vehicle loan at 14.06% for up to ₹2000000 in Miyapur, Hyderabad."
Yes Bank,Home Loan,12.9,20,100000,2000000,₹6122,Government,Ameerpet,"Yes Bank offers a home loan at 12.9% for up to ₹2000000 in Ameerpet, Hyderabad."
SBI,Home Loan,10.84,10,100000,1000000,₹9819,Government,Mehdipatnam,"SBI offers a home loan at 10.84% for up to ₹1000000 in Mehdipatnam, Hyderabad."
ICICI,Personal Loan,12.35,2,200000,500000,₹6998,Salaried,Dilsukhnagar,"ICICI offers a personal loan at 12.35% for up to ₹500000 in Dilsukhnagar, Hyderabad."
SBI,Home Loan,13.12,3,200000,500000,₹6761,Self-Employed,Madhapur,"SBI offers a home loan at 13.12% for up to ₹500000 in Madhapur, Hyderabad."
BOB,Personal Loan,9.23,5,200000,1000000,₹9910,Salaried,Ameerpet,"BOB offers a personal loan at 9.23% for up to ₹1000000 in Ameerpet, Hyderabad."
ICICI,Home Loan,10.65,10,100000,500000,₹2168,Pensioner,Dilsukhnagar,"ICICI offers a home loan at 10.65% for up to ₹500000 in Dilsukhnagar, Hyderabad."
IDFC First,Education Loan,11.32,3,50000,500000,₹4649,Self-Employed,Madhapur,"IDFC First offers a education loan at 11.32% for up to ₹500000 in Madhapur, Hyderabad."
SBI,Home Loan,10.25,1,50000,500000,₹9696,Self-Employed,Mehdipatnam,"SBI offers a home loan at 10.25% for up to ₹500000 in Mehdipatnam, Hyderabad."
Kotak,Vehicle Loan,13.1,1,200000,1000000,₹1197,Salaried,Gachibowli,"Kotak offers a vehicle loan at 13.1% for up to ₹1000000 in Gachibowli, Hyderabad."
Kotak,Vehicle Loan,13.09,10,50000,2000000,₹8276,Government,LB Nagar,"Kotak offers a vehicle loan at 13.09% for up to ₹2000000 in LB Nagar, Hyderabad."
Yes Bank,Vehicle Loan,8.8,10,200000,500000,₹9358,Self-Employed,Mehdipatnam,"Yes Bank offers a vehicle loan at 8.8% for up to ₹500000 in Mehdipatnam, Hyderabad."
Kotak,Vehicle Loan,13.28,15,100000,1000000,₹2419,Pensioner,Miyapur,"Kotak offers a vehicle loan at 13.28% for up to ₹1000000 in Miyapur, Hyderabad."
Canara,Vehicle Loan,14.49,20,200000,1000000,₹3286,Pensioner,Tolichowki,"Canara offers a vehicle loan at 14.49% for up to ₹1000000 in Tolichowki, Hyderabad."
Canara,Personal Loan,13.7,2,50000,1000000,₹8103,Pensioner,Miyapur,"Canara offers a personal loan at 13.7% for up to ₹1000000 in Miyapur, Hyderabad."
Kotak,Home Loan,14.44,2,200000,500000,₹6397,Salaried,Madhapur,"Kotak offers a home loan at 14.44% for up to ₹500000 in Madhapur, Hyderabad."
PNB,Vehicle Loan,14.43,10,200000,2000000,₹8406,Pensioner,Begumpet,"PNB offers a vehicle loan at 14.43% for up to ₹2000000 in Begumpet, Hyderabad."
Axis,Personal Loan,11.56,1,50000,500000,₹5329,Salaried,Dilsukhnagar,"Axis offers a personal loan at 11.56% for up to ₹500000 in Dilsukhnagar, Hyderabad."
ICICI,Vehicle Loan,9.04,3,100000,2000000,₹7044,Self-Employed,Hitech City,"ICICI offers a vehicle loan at 9.04% for up to ₹2000000 in Hitech City, Hyderabad."
Yes Bank,Personal Loan,8.97,1,100000,1000000,₹6025,Government,Gachibowli,"Yes Bank offers a personal loan at 8.97% for up to ₹1000000 in Gachibowli, Hyderabad."
ICICI,Vehicle Loan,9.53,5,200000,2000000,₹8815,Self-Employed,Madhapur,"ICICI offers a vehicle loan at 9.53% for up to ₹2000000 in Madhapur, Hyderabad."
SBI,Personal Loan,9.5,1,100000,500000,₹1987,Self-Employed,Miyapur,"SBI offers a personal loan at 9.5% for up to ₹500000 in Miyapur, Hyderabad."
HDFC,Vehicle Loan,9.12,1,100000,2000000,₹2115,Government,Kondapur,"HDFC offers a vehicle loan at 9.12% for up to ₹2000000 in Kondapur, Hyderabad."
BOB,Vehicle Loan,12.14,2,200000,500000,₹2677,Salaried,LB Nagar,"BOB offers a vehicle loan at 12.14% for up to ₹500000 in LB Nagar, Hyderabad."
Kotak,Education Loan,14.5,15,50000,500000,₹3129,Self-Employed,Ameerpet,"Kotak offers a education loan at 14.5% for up to ₹500000 in Ameerpet, Hyderabad."
Axis,Personal Loan,13.24,5,100000,500000,₹3060,Government,Dilsukhnagar,"Axis offers a personal loan at 13.24% for up to ₹500000 in Dilsukhnagar, Hyderabad."
ICICI,Personal Loan,12.71,15,200000,2000000,₹3663,Government,Kukatpally,"ICICI offers a personal loan at 12.71% for up to ₹2000000 in Kukatpally, Hyderabad."
IDFC First,Personal Loan,13.9,10,100000,1000000,₹6175,Government,Attapur,"IDFC First offers a personal loan at 13.9% for up to ₹1000000 in Attapur, Hyderabad."
ICICI,Personal Loan,8.29,5,50000,500000,₹2210,Pensioner,Gachibowli,"ICICI offers a personal loan at 8.29% for up to ₹500000 in Gachibowli, Hyderabad."
PNB,Education Loan,13.94,15,200000,1000000,₹7310,Government,Jubilee Hills,"PNB offers a education loan at 13.94% for up to ₹1000000 in Jubilee Hills, Hyderabad."
Canara,Vehicle Loan,10.31,5,100000,2000000,₹1253,Government,Kondapur,"Canara offers a vehicle loan at 10.31% for up to ₹2000000 in Kondapur, Hyderabad."
IDFC First,Personal Loan,11.84,10,100000,1000000,₹4331,Pensioner,Banjara Hills,"IDFC First offers a personal loan at 11.84% for up to ₹1000000 in Banjara Hills, Hyderabad."
Axis,Vehicle Loan,12.49,1,100000,500000,₹2423,Pensioner,Madhapur,"Axis offers a vehicle loan at 12.49% for up to ₹500000 in Madhapur, Hyderabad."
BOB,Home Loan,9.28,5,100000,1000000,₹3786,Pensioner,Mehdipatnam,"BOB offers a home loan at 9.28% for up to ₹1000000 in Mehdipatnam, Hyderabad."
ICICI,Home Loan,13.15,5,100000,1000000,₹7662,Salaried,Tolichowki,"ICICI offers a home loan at 13.15% for up to ₹1000000 in Tolichowki, Hyderabad."
Axis,Education Loan,10.62,2,200000,500000,₹4935,Pensioner,Miyapur,"Axis offers a education loan at 10.62% for up to ₹500000 in Miyapur, Hyderabad."
BOB,Education Loan,10.81,15,200000,2000000,₹1972,Pensioner,Kukatpally,"BOB offers a education loan at 10.81% for up to ₹2000000 in Kukatpally, Hyderabad."
Kotak,Personal Loan,13.7,2,100000,2000000,₹5154,Salaried,Gachibowli,"Kotak offers a personal loan at 13.7% for up to ₹2000000 in Gachibowli, Hyderabad."
SBI,Education Loan,14.74,20,100000,2000000,₹5544,Government,Mehdipatnam,"SBI offers a education loan at 14.74% for up to ₹2000000 in Mehdipatnam, Hyderabad."
Canara,Personal Loan,11.78,20,200000,1000000,₹3119,Pensioner,Mehdipatnam,"Canara offers a personal loan at 11.78% for up to ₹1000000 in Mehdipatnam, Hyderabad."
Canara,Vehicle Loan,10.01,15,200000,1000000,₹4037,Self-Employed,Begumpet,"Canara offers a vehicle loan at 10.01% for up to ₹1000000 in Begumpet, Hyderabad."
SBI,Education Loan,14.97,10,100000,2000000,₹6671,Salaried,Dilsukhnagar,"SBI offers a education loan at 14.97% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
ICICI,Education Loan,8.02,2,200000,2000000,₹8180,Pensioner,Tolichowki,"ICICI offers a education loan at 8.02% for up to ₹2000000 in Tolichowki, Hyderabad."
Kotak,Vehicle Loan,9.82,5,50000,1000000,₹8956,Self-Employed,Secunderabad,"Kotak offers a vehicle loan at 9.82% for up to ₹1000000 in Secunderabad, Hyderabad."
Yes Bank,Vehicle Loan,10.86,10,200000,500000,₹6603,Self-Employed,Hitech City,"Yes Bank offers a vehicle loan at 10.86% for up to ₹500000 in Hitech City, Hyderabad."
IDFC First,Vehicle Loan,12.95,1,200000,2000000,₹3829,Salaried,Kondapur,"IDFC First offers a vehicle loan at 12.95% for up to ₹2000000 in Kondapur, Hyderabad."
Yes Bank,Education Loan,14.08,2,200000,1000000,₹4006,Government,Banjara Hills,"Yes Bank offers a education loan at 14.08% for up to ₹1000000 in Banjara Hills, Hyderabad."
HDFC,Personal Loan,8.9,20,100000,500000,₹7169,Self-Employed,Secunderabad,"HDFC offers a personal loan at 8.9% for up to ₹500000 in Secunderabad, Hyderabad."
Kotak,Personal Loan,13.82,2,100000,1000000,₹1630,Pensioner,LB Nagar,"Kotak offers a personal loan at 13.82% for up to ₹1000000 in LB Nagar, Hyderabad."
IDFC First,Vehicle Loan,10.87,20,50000,500000,₹5688,Pensioner,Miyapur,"IDFC First offers a vehicle loan at 10.87% for up to ₹500000 in Miyapur, Hyderabad."
IDFC First,Home Loan,7.38,3,200000,1000000,₹5673,Government,LB Nagar,"IDFC First offers a home loan at 7.38% for up to ₹1000000 in LB Nagar, Hyderabad."
BOB,Home Loan,10.7,1,200000,500000,₹7601,Salaried,Hitech City,"BOB offers a home loan at 10.7% for up to ₹500000 in Hitech City, Hyderabad."
Yes Bank,Home Loan,13.88,2,50000,1000000,₹1186,Self-Employed,Kondapur,"Yes Bank offers a home loan at 13.88% for up to ₹1000000 in Kondapur, Hyderabad."
SBI,Personal Loan,8.53,5,100000,1000000,₹5132,Pensioner,Dilsukhnagar,"SBI offers a personal loan at 8.53% for up to ₹1000000 in Dilsukhnagar, Hyderabad."
Axis,Vehicle Loan,7.24,1,100000,500000,₹4031,Salaried,Gachibowli,"Axis offers a vehicle loan at 7.24% for up to ₹500000 in Gachibowli, Hyderabad."
Kotak,Home Loan,8.5,2,100000,500000,₹8396,Government,Kondapur,"Kotak offers a home loan at 8.5% for up to ₹500000 in Kondapur, Hyderabad."
SBI,Education Loan,14.3,5,200000,500000,₹5685,Pensioner,Begumpet,"SBI offers a education loan at 14.3% for up to ₹500000 in Begumpet, Hyderabad."
IDFC First,Education Loan,9.61,3,100000,2000000,₹3803,Self-Employed,Dilsukhnagar,"IDFC First offers a education loan at 9.61% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
Axis,Personal Loan,13.23,10,200000,500000,₹1349,Salaried,LB Nagar,"Axis offers a personal loan at 13.23% for up to ₹500000 in LB Nagar, Hyderabad."
SBI,Education Loan,14.03,20,200000,2000000,₹8680,Government,Mehdipatnam,"SBI offers a education loan at 14.03% for up to ₹2000000 in Mehdipatnam, Hyderabad."
Canara,Personal Loan,14.53,15,100000,500000,₹1045,Government,Secunderabad,"Canara offers a personal loan at 14.53% for up to ₹500000 in Secunderabad, Hyderabad."
Yes Bank,Home Loan,11.71,1,200000,500000,₹6555,Pensioner,Attapur,"Yes Bank offers a home loan at 11.71% for up to ₹500000 in Attapur, Hyderabad."
BOB,Vehicle Loan,10.08,3,200000,500000,₹2933,Salaried,Kukatpally,"BOB offers a vehicle loan at 10.08% for up to ₹500000 in Kukatpally, Hyderabad."
Axis,Vehicle Loan,9.48,3,200000,2000000,₹4886,Salaried,Banjara Hills,"Axis offers a vehicle loan at 9.48% for up to ₹2000000 in Banjara Hills, Hyderabad."
SBI,Education Loan,8.2,3,100000,2000000,₹4104,Self-Employed,Miyapur,"SBI offers a education loan at 8.2% for up to ₹2000000 in Miyapur, Hyderabad."
Yes Bank,Vehicle Loan,14.61,5,200000,1000000,₹2179,Salaried,Miyapur,"Yes Bank offers a vehicle loan at 14.61% for up to ₹1000000 in Miyapur, Hyderabad."
BOB,Personal Loan,14.34,2,100000,1000000,₹8787,Pensioner,LB Nagar,"BOB offers a personal loan at 14.34% for up to ₹1000000 in LB Nagar, Hyderabad."
Canara,Education Loan,7.14,15,200000,2000000,₹8172,Salaried,Tolichowki,"Canara offers a education loan at 7.14% for up to ₹2000000 in Tolichowki, Hyderabad."
BOB,Personal Loan,9.17,1,200000,500000,₹3451,Government,Secunderabad,"BOB offers a personal loan at 9.17% for up to ₹500000 in Secunderabad, Hyderabad."
PNB,Personal Loan,12.84,5,200000,2000000,₹3809,Self-Employed,Gachibowli,"PNB offers a personal loan at 12.84% for up to ₹2000000 in Gachibowli, Hyderabad."
Yes Bank,Vehicle Loan,9.58,20,50000,500000,₹3445,Self-Employed,Kukatpally,"Yes Bank offers a vehicle loan at 9.58% for up to ₹500000 in Kukatpally, Hyderabad."
